id,"Accessory","Class","Headgear Accessory","Suit Accessory","Scrawls","Phase","Location","Suit Color","Suit Pattern","Suit","Headgear","Totem","Backpack","Suit Accessories","Graphic"
1918,"Roulette","Drifter","None","None","None","Phase 2","The Void","Red","Foss","Vayon Worksuit","BC Shiner","None","None","None","Engineers Guild"
1919,"Thruster","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cap Flag","Smocker","Headforge","None","Caddypack","Simple Regulator","Margul"
1920,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Gray","Ricochet","Vayon Worksuit","The Scaper","Light Grey Suit Integrity Amulet","The Sink","Simple Regulator","Beshtala Expatriation Roster"
1921,"The Shriek","Drifter","Driftcore Shades","None","Yes","Phase 2","The Void","Green","Solid","Deverin Jacket","The Pillowcase","Light Grey Milo Charm","Caddypack","Fine Tool Harness","Beshtala Expatriation Roster"
1922,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cap Flag","Smocker","Hangtooth","Yellow Drippy Charm","Caddypack","Simple Regulator","House of Ourbous"
1923,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Vayon Worksuit","Rustler's Braincage","None","Little Huffy","Multiband Regulator","The Pyramid Order"
1924,"The Shriek","Drifter","None","None","None","Phase 2","The Void","White","Solid","Deverin Jacket","Boxhead","Light Grey Milo Charm","Bobpack","Heavy Duty Regulator","Union of Merchants"
1925,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Hangtooth","None","The Sink","Fine Tool Harness","Beshtala Expatriation Roster"
1926,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","Gray","Chords","Smocker","Boxhead","Light Grey Milo Charm","Caddypack","Encased Regulator","House of Ourbous"
1927,"Trunker","Drifter","None","None","None","Phase 2","The Void","White","Solid","Deverin Jacket","Boxhead","Medium Grey Sanity Amulet","Fancypack","Fine Tool Harness","The Bench"
1928,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Kreegal Cloak","Boxhead","Red Air Supply Amulet","Little Huffy","Multiband Regulator","The Path"
1929,"Round Foot","Drifter","None","None","Yes","Phase 2","The Void","Red","Cowl","Smocker","Rustler's Braincage","Dark Grey Air Supply Amulet","Little Huffy","Simple Regulator","The Pyramid Order"
1930,"Trunker","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Deverin Jacket","Headforge","Medium Grey Sanity Amulet","Fancypack","Heavy Duty Regulator","Dugall Freight"
1931,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","Good King Maude","Yellow Drippy Charm","Caddypack","Heavy Duty Regulator","Survivalist Guild"
1932,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Red","Cap Flag","Smocker","Boxhead","White Air Supply Amulet","Little Huffy","None","The Man Earlie Expeditionary Society"
1933,"Thruster","Drifter","None","None","Yes","Phase 2","The Void","Red","Sacred Passage","Smocker","Kipper","None","Little Huffy","Encased Regulator","Cathedral"
1934,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Boxhead","Light Grey Suit Integrity Amulet","Fancypack","None","Lighthouse Sept"
1935,"Wedge","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Pillowcase","White Air Supply Amulet","Little Huffy","Encased Regulator","Roving Terror"
1936,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Good King Maude","Medium Grey Drippy Charm","The Sink","Encased Regulator","Saddler Racing League"
1937,"Trunker","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Deverin Jacket","Headforge","None","Bobpack","Simple Regulator","Mesmegraph"
1938,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Kreegal Cloak","Good King Maude","None","Little Huffy","Heavy Duty Regulator","Survivalist Guild"
1939,"Hull Breacher","Drifter","Hypervisor","None","Yes","Phase 2","The Void","White","Solid","Deverin Jacket","The Pillowcase","None","Little Huffy","Encased Regulator","House of Ourbous"
1940,"Thruster","Drifter","None","None","None","Phase 2","The Void","Red","Sacred Passage","Smocker","Hangtooth","None","None","None","Dark Ether House"
1941,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Gray","Ricochet","Vayon Worksuit","Trailmaker","None","Caddypack","Simple Regulator","The Bench"
1942,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Green","Sacred Passage","Smocker","Hardhat","White Suit Integrity Amulet","Caddypack","Heavy Duty Regulator","Cross of the Round Power"
1943,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Good King Maude","None","None","None","Orbital Miners Guild"
1944,"Roulette","Drifter","None","None","None","Phase 2","The Void","White","Cap Flag","Smocker","Puffy Face","Light Grey Milo Charm","The Sink","Multiband Regulator","The Forsaken"
1945,"The Shriek","Drifter","None","None","None","Phase 2","The Void","White","Cap Flag","Smocker","Hangtooth","Dark Grey Sanity Amulet","None","None","Cross of the Round Power"
1946,"Ball Claw","Drifter","Leergear","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Kipper","Red Air Supply Amulet","Little Huffy","Encased Regulator","Beshtala Expatriation Roster"
1947,"Wedge","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Deverin Jacket","The Pillowcase","None","Fancypack","Heavy Duty Regulator","The Pyramid Order"
1948,"Hole Puncher","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Good King Maude","None","Little Huffy","Multiband Regulator","No Damage"
1949,"Ball Claw","Drifter","Leergear","None","None","Phase 2","The Void","Yellow","Cowl","Smocker","Kipper","White Air Supply Amulet","Fancypack","Heavy Duty Regulator","The Pyramid Order"
1950,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Good King Maude","Light Grey Milo Charm","None","None","Cathedral"
1951,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","Backstab Squeezebox","None","Little Huffy","Heavy Duty Regulator","Lighthouse Sept"
1952,"Thruster","Drifter","None","None","None","Phase 2","The Void","Green","Cowl","Smocker","Trailmaker","Light Grey Suit Integrity Amulet","Fancypack","Encased Regulator","Round Power"
1953,"Seam Ripper","Drifter","None","None","Yes","Phase 2","The Void","Red","Cowl","Smocker","Puffy Face","None","Little Huffy","None","Mark Stay"
1954,"Thruster","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Headforge","None","Little Huffy","Encased Regulator","Deepsatch"
1955,"Hole Puncher","Drifter","None","None","Yes","Phase 2","The Void","White","Ricochet","Vayon Worksuit","Good King Maude","None","Caddypack","Heavy Duty Regulator","House of Ourbous"
1956,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Prongshell","Trailmaker","Light Grey Suit Integrity Amulet","None","None","Gael"
1957,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Rustler's Braincage","Yellow Drippy Charm","Bobpack","Heavy Duty Regulator","Mesmegraph"
1958,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","White","Sacred Passage","Smocker","Boxhead","None","Bobpack","Encased Regulator","Freebooters Flag"
1959,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Red","Cowl","Smocker","The Spyhopper","Medium Grey Sanity Amulet","Caddypack","None","Dark Ether House"
1960,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Boxhead","Yellow Drippy Charm","Bobpack","Heavy Duty Regulator","Union of Merchants"
1961,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","White","Arvis Edition","Deverin Jacket","Good King Maude","None","Caddypack","Heavy Duty Regulator","House of Ourbous"
1962,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Kreegal Cloak","Trailmaker","Light Grey Suit Integrity Amulet","Fancypack","Multiband Regulator","The Transcendentalists"
1963,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","White","Arvis Edition","Deverin Jacket","Puffy Face","Medium Grey Drippy Charm","Little Huffy","Heavy Duty Regulator","Mark Stay"
1964,"Death Beam","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cap Flag","Smocker","The Spyhopper","Yellow Drippy Charm","Little Huffy","Simple Regulator","Beshtala-Chanko"
1965,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Hangtooth","Medium Grey Sanity Amulet","Bobpack","Heavy Duty Regulator","Engineers Guild"
1966,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Prongshell","Trailmaker","None","None","None","The Transcendentalists"
1967,"Round Foot","Drifter","None","None","Yes","Phase 2","The Void","White","Cap Flag","Smocker","Rustler's Braincage","Dark Grey Air Supply Amulet","Little Huffy","Multiband Regulator","Engineers Guild"
1968,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Spyhopper","None","Caddypack","Heavy Duty Regulator","Topography Society"
1969,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Hangtooth","Light Grey Decontamination Amulet","Caddypack","Multiband Regulator","The Man Earlie Expeditionary Society"
1970,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Boxhead","Light Grey Decontamination Amulet","Caddypack","Heavy Duty Regulator","The Bench"
1971,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Smocker","Boxhead","Dark Grey Drippy Charm","Caddypack","Simple Regulator","Survivalist Guild"
1972,"Trunker","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Deverin Jacket","The Spyhopper","Medium Grey Sanity Amulet","Bobpack","Simple Regulator","Cross of the Round Power"
1973,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Red","Cap Flag","Smocker","Trailmaker","Light Grey Suit Integrity Amulet","Little Huffy","None","Freebooters Flag"
1974,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Red","Cap Flag","Smocker","Hangtooth","Medium Grey Sanity Amulet","Little Huffy","Heavy Duty Regulator","Dark Ether House"
1975,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","Backstab Squeezebox","Medium Grey Sanity Amulet","Bobpack","Multiband Regulator","The Pyramid Order"
1976,"Ball Claw","Drifter","None","None","Yes","Phase 2","The Void","Green","Cap Flag","Smocker","Puffy Face","White Air Supply Amulet","Little Huffy","Heavy Duty Regulator","The Borsch Conservatory of Gastrotechs"
1977,"The Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Cowl","Smocker","The Scaper","Light Grey Air Supply Amulet","The Sink","None","Mesmegraph"
1978,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Smocker","Headforge","None","Fancypack","Simple Regulator","Free Fringe"
1979,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Vayon Worksuit","Hangtooth","None","Little Huffy","Multiband Regulator","Engineers Guild"
1980,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Deverin Jacket","Good King Maude","Medium Grey Drippy Charm","Caddypack","Encased Regulator","Combustible"
1981,"Thruster","Drifter","None","None","None","Phase 2","The Void","Yellow","Cowl","Smocker","Rustler's Braincage","Dark Grey Decontamination Amulet","Bobpack","None","Mesmegraph"
1982,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Vayon Worksuit","BC Shiner","Light Grey Suit Integrity Amulet","Little Huffy","Heavy Duty Regulator","No Damage"
1983,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","Good King Maude","White Air Supply Amulet","Little Huffy","Multiband Regulator","Dugall Freight"
1984,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Prongshell","The Stalker","None","None","None","The Man Earlie Expeditionary Society"
1985,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Prongshell","The Stalker","None","None","None","Deepsatch"
1986,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Rustler's Braincage","Light Grey Milo Charm","The Sink","Fine Tool Harness","The Pyramid Order"
1987,"Ball Claw","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cap Flag","Smocker","The Scaper","Yellow Drippy Charm","Caddypack","Simple Regulator","House of Ourbous"
1988,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cowl","Smocker","Headforge","None","Caddypack","None","Engineers Guild"
1989,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","Trailmaker","White Drippy Charm","Caddypack","Multiband Regulator","The Transcendentalists"
1990,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Prongshell","Boxhead","None","None","None","Dugall Freight"
1991,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Solid","Deverin Jacket","The Scaper","Light Grey Suit Integrity Amulet","Little Huffy","Fine Tool Harness","Cathedral"
1992,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Good King Maude","None","Bobpack","Heavy Duty Regulator","The Bench"
1993,"Trunker","Drifter","None","None","None","Phase 2","The Void","Blue","Cowl","Smocker","Hardhat","Medium Grey Sanity Amulet","The Sink","Heavy Duty Regulator","Dark Ether House"
1994,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Gray","Arvis Edition","Deverin Jacket","Good King Maude","White Drippy Charm","Caddypack","Heavy Duty Regulator","Engineers Guild"
1995,"Chainflicker","Drifter","None","None","None","Phase 2","The Void","Blue","Sacred Passage","Smocker","The Pillowcase","None","None","None","The Pyramid Order"
1996,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Kreegal Cloak","Hangtooth","Light Grey Milo Charm","None","None","Freebooters Flag"
1997,"Round Foot","Drifter","None","None","None","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","Hangtooth","Light Grey Suit Integrity Amulet","The Sink","Multiband Regulator","Venonauts"
1998,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Rustler's Braincage","Light Grey Suit Integrity Amulet","Fancypack","Fine Tool Harness","Longhaulers"
1999,"Trunker","Drifter","None","None","None","Phase 2","The Void","White","Solid","Prongshell","Hangtooth","None","None","None","Dugall Freight"
2000,"Round Foot","Drifter","None","None","Yes","Phase 2","The Void","Green","Cap Flag","Smocker","Rustler's Braincage","None","Caddypack","None","The Pyramid Order"
2001,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","The Scaper","Light Grey Suit Integrity Amulet","Fancypack","Simple Regulator","Engineers Guild"
2002,"Trunker","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Kreegal Cloak","Kipper","Medium Grey Sanity Amulet","Caddypack","Encased Regulator","Dark Ether House"
2003,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Red","Foss","Vayon Worksuit","Hangtooth","None","None","None","The Man Earlie Expeditionary Society"
2004,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Black","Strapt","Duggie","The Spyhopper","Light Grey Decontamination Amulet","None","Utility Vest","Cross of the Round Power"
