id,"Accessory","Backpack","Class","Death","Graphic","Headgear","Headgear Accessory","Location","Phase","Scrawls","Suit","Suit Accessories","Suit Accessory","Suit Color","Suit Pattern","Totem"
1933,"Thruster","Little Huffy","Drifter","None","Cathedral","Kipper","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Red","Sacred Passage","None"
1934,"Bolt Harp","Fancypack","Drifter","None","Lighthouse Sept","Boxhead","None","The Void","Phase 2","None","Smocker","None","None","Red","Cap Flag","Light Grey Suit Integrity Amulet"
1935,"Wedge","Little Huffy","Drifter","None","Roving Terror","The Pillowcase","None","The Void","Phase 2","Yes","Vayon Worksuit","Encased Regulator","None","Gray","Solid","White Air Supply Amulet"
1936,"The (Fat) Koltso","The Sink","Drifter","None","Saddler Racing League","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","Encased Regulator","None","Gray","Solid","Medium Grey Drippy Charm"
1937,"Trunker","Bobpack","Drifter","None","Mesmegraph","Headforge","None","The Void","Phase 2","None","Deverin Jacket","Simple Regulator","None","Gray","Solid","None"
1938,"The Nozzle","Little Huffy","Drifter","None","Survivalist Guild","Good King Maude","None","The Void","Phase 2","Yes","Kreegal Cloak","Heavy Duty Regulator","None","Red","Solid","None"
1939,"Hull Breacher","Little Huffy","Drifter","None","House of Ourbous","The Pillowcase","Hypervisor","The Void","Phase 2","Yes","Deverin Jacket","Encased Regulator","None","White","Solid","None"
1940,"Thruster","None","Drifter","None","Dark Ether House","Hangtooth","None","The Void","Phase 2","None","Smocker","None","None","Red","Sacred Passage","None"
1941,"Hull Breacher","Caddypack","Drifter","None","The Bench","Trailmaker","None","The Void","Phase 2","Yes","Vayon Worksuit","Simple Regulator","None","Gray","Ricochet","None"
1942,"The Nozzle","Caddypack","Drifter","None","Cross of the Round Power","Hardhat","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Green","Sacred Passage","White Suit Integrity Amulet"
1943,"Cove Carver","None","Drifter","None","Orbital Miners Guild","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","None","None","White","Foss","None"
1944,"Roulette","The Sink","Drifter","None","The Forsaken","Puffy Face","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","White","Cap Flag","Light Grey Milo Charm"
1945,"The Shriek","None","Drifter","None","Cross of the Round Power","Hangtooth","None","The Void","Phase 2","None","Smocker","None","None","White","Cap Flag","Dark Grey Sanity Amulet"
1946,"Ball Claw","Little Huffy","Drifter","None","Beshtala Expatriation Roster","Kipper","Leergear","The Void","Phase 2","Yes","Vayon Worksuit","Encased Regulator","None","Gray","Solid","Red Air Supply Amulet"
1947,"Wedge","Fancypack","Drifter","None","The Pyramid Order","The Pillowcase","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Green","Solid","None"
1948,"Hole Puncher","Little Huffy","Drifter","None","No Damage","Good King Maude","None","The Void","Phase 2","Yes","Deverin Jacket","Multiband Regulator","None","Yellow","Solid","None"
1949,"Ball Claw","Fancypack","Drifter","None","The Pyramid Order","Kipper","Leergear","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Cowl","White Air Supply Amulet"
1950,"The Shriek","None","Drifter","None","Cathedral","Good King Maude","None","The Void","Phase 2","None","Smocker","None","None","Green","Sacred Passage","Light Grey Milo Charm"
1951,"The Nozzle","Little Huffy","Drifter","None","Lighthouse Sept","Backstab Squeezebox","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Red-Yellow","Cap Flag","None"
1952,"Thruster","Fancypack","Drifter","None","Round Power","Trailmaker","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Green","Cowl","Light Grey Suit Integrity Amulet"
1953,"Seam Ripper","Little Huffy","Drifter","None","Mark Stay","Puffy Face","None","The Void","Phase 2","Yes","Smocker","None","None","Red","Cowl","None"
1954,"Thruster","Little Huffy","Drifter","None","Deepsatch","Headforge","None","The Void","Phase 2","Yes","Vayon Worksuit","Encased Regulator","None","Gray","Solid","None"
1955,"Hole Puncher","Caddypack","Drifter","None","House of Ourbous","Good King Maude","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","White","Ricochet","None"
1956,"The Nozzle","None","Drifter","None","Gael","Trailmaker","None","The Void","Phase 2","None","Prongshell","None","None","Red","Solid","Light Grey Suit Integrity Amulet"
1957,"The Shriek","Bobpack","Drifter","None","Mesmegraph","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Sacred Passage","Yellow Drippy Charm"
1958,"Hull Breacher","Bobpack","Drifter","None","Freebooters Flag","Boxhead","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","White","Sacred Passage","None"
1959,"Trunker","Caddypack","Drifter","None","Dark Ether House","The Spyhopper","None","The Void","Phase 2","Yes","Smocker","None","None","Red","Cowl","Medium Grey Sanity Amulet"
1960,"The (Fat) Koltso","Bobpack","Drifter","None","Union of Merchants","Boxhead","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Green","Sacred Passage","Yellow Drippy Charm"
1961,"Hull Breacher","Caddypack","Drifter","None","House of Ourbous","Good King Maude","None","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","White","Arvis Edition","None"
1962,"The Nozzle","Fancypack","Drifter","None","The Transcendentalists","Trailmaker","None","The Void","Phase 2","None","Kreegal Cloak","Multiband Regulator","None","Red","Solid","Light Grey Suit Integrity Amulet"
1963,"The (Fat) Koltso","Little Huffy","Drifter","None","Mark Stay","Puffy Face","None","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","White","Arvis Edition","Medium Grey Drippy Charm"
1964,"Death Beam","Little Huffy","Drifter","None","Beshtala-Chanko","The Spyhopper","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Yellow","Cap Flag","Yellow Drippy Charm"
1965,"Hull Breacher","Bobpack","Drifter","None","Engineers Guild","Hangtooth","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Sacred Passage","Medium Grey Sanity Amulet"
1966,"Cove Carver","None","Drifter","None","The Transcendentalists","Trailmaker","None","The Void","Phase 2","None","Prongshell","None","None","Red","Solid","None"
1967,"Round Foot","Little Huffy","Drifter","None","Engineers Guild","Rustler's Braincage","None","The Void","Phase 2","Yes","Smocker","Multiband Regulator","None","White","Cap Flag","Dark Grey Air Supply Amulet"
1968,"Trunker","Caddypack","Drifter","None","Topography Society","The Spyhopper","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","None"
1969,"Bolt Harp","Caddypack","Drifter","None","The Man Earlie Expeditionary Society","Hangtooth","None","The Void","Phase 2","Yes","Kreegal Cloak","Multiband Regulator","None","Gray","Solid","Light Grey Decontamination Amulet"
1970,"Bolt Harp","Caddypack","Drifter","None","The Bench","Boxhead","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","Light Grey Decontamination Amulet"
1971,"Steady Hammer","Caddypack","Drifter","None","Survivalist Guild","Boxhead","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Black","Solid","Dark Grey Drippy Charm"
1972,"Trunker","Bobpack","Drifter","None","Cross of the Round Power","The Spyhopper","None","The Void","Phase 2","None","Deverin Jacket","Simple Regulator","None","Red","Solid","Medium Grey Sanity Amulet"
1973,"The Nozzle","Little Huffy","Drifter","None","Freebooters Flag","Trailmaker","None","The Void","Phase 2","Yes","Smocker","None","None","Red","Cap Flag","Light Grey Suit Integrity Amulet"
1974,"Trunker","Little Huffy","Drifter","None","Dark Ether House","Hangtooth","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Red","Cap Flag","Medium Grey Sanity Amulet"
1975,"The Nozzle","Bobpack","Drifter","None","The Pyramid Order","Backstab Squeezebox","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Green","Cap Flag","Medium Grey Sanity Amulet"
1976,"Ball Claw","Little Huffy","Drifter","None","The Borsch Conservatory of Gastrotechs","Puffy Face","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Green","Cap Flag","White Air Supply Amulet"
1977,"The Koltso","The Sink","Drifter","None","Mesmegraph","The Scaper","None","The Void","Phase 2","None","Smocker","None","None","Yellow","Cowl","Light Grey Air Supply Amulet"
1978,"The (Fat) Koltso","Fancypack","Drifter","None","Free Fringe","Headforge","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Black","Solid","None"
1979,"Bolt Harp","Little Huffy","Drifter","None","Engineers Guild","Hangtooth","None","The Void","Phase 2","Yes","Vayon Worksuit","Multiband Regulator","None","Black","Solid","None"
1980,"The (Fat) Koltso","Caddypack","Drifter","None","Combustible","Good King Maude","None","The Void","Phase 2","Yes","Deverin Jacket","Encased Regulator","None","Red","Solid","Medium Grey Drippy Charm"
1981,"Thruster","Bobpack","Drifter","None","Mesmegraph","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","None","None","Yellow","Cowl","Dark Grey Decontamination Amulet"
1982,"The Nozzle","Little Huffy","Drifter","None","No Damage","BC Shiner","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","Light Grey Suit Integrity Amulet"
1983,"The Nozzle","Little Huffy","Drifter","None","Dugall Freight","Good King Maude","None","The Void","Phase 2","Yes","Kreegal Cloak","Multiband Regulator","None","Gray","Scripture","White Air Supply Amulet"
1984,"Steady Hammer","None","Drifter","None","The Man Earlie Expeditionary Society","The Stalker","None","The Void","Phase 2","None","Prongshell","None","None","Yellow","Solid","None"
1985,"Prongseat","None","Drifter","None","Deepsatch","The Stalker","None","The Void","Phase 2","None","Prongshell","None","None","Red","Solid","None"
1986,"Hull Breacher","The Sink","Drifter","None","The Pyramid Order","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","Fine Tool Harness","None","Gray","Solid","Light Grey Milo Charm"
1987,"Ball Claw","Caddypack","Drifter","None","House of Ourbous","The Scaper","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Yellow","Cap Flag","Yellow Drippy Charm"
1988,"Hull Breacher","Caddypack","Drifter","None","Engineers Guild","Headforge","None","The Void","Phase 2","Yes","Smocker","None","None","Yellow","Cowl","None"
1989,"Cove Carver","Caddypack","Drifter","None","The Transcendentalists","Trailmaker","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Green","Cap Flag","White Drippy Charm"
1990,"The (Fat) Koltso","None","Drifter","None","Dugall Freight","Boxhead","None","The Void","Phase 2","None","Prongshell","None","None","Yellow","Solid","None"
1991,"The Nozzle","Little Huffy","Drifter","None","Cathedral","The Scaper","None","The Void","Phase 2","Yes","Deverin Jacket","Fine Tool Harness","None","Yellow","Solid","Light Grey Suit Integrity Amulet"
1992,"The Nozzle","Bobpack","Drifter","None","The Bench","Good King Maude","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Sacred Passage","None"
1993,"Trunker","The Sink","Drifter","None","Dark Ether House","Hardhat","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Blue","Cowl","Medium Grey Sanity Amulet"
1994,"Hull Breacher","Caddypack","Drifter","None","Engineers Guild","Good King Maude","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Gray","Arvis Edition","White Drippy Charm"
1995,"Chainflicker","None","Drifter","None","The Pyramid Order","The Pillowcase","None","The Void","Phase 2","None","Smocker","None","None","Blue","Sacred Passage","None"
1996,"The Shriek","None","Drifter","None","Freebooters Flag","Hangtooth","None","The Void","Phase 2","None","Kreegal Cloak","None","None","Green","Solid","Light Grey Milo Charm"
1997,"Round Foot","The Sink","Drifter","None","Venonauts","Hangtooth","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","Light Grey Suit Integrity Amulet"
1998,"Hull Breacher","Fancypack","Drifter","None","Longhaulers","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","Fine Tool Harness","None","Gray","Solid","Light Grey Suit Integrity Amulet"
1999,"Trunker","None","Drifter","None","Dugall Freight","Hangtooth","None","The Void","Phase 2","None","Prongshell","None","None","White","Solid","None"
2000,"Round Foot","Caddypack","Drifter","None","The Pyramid Order","Rustler's Braincage","None","The Void","Phase 2","Yes","Smocker","None","None","Green","Cap Flag","None"
2001,"Hull Breacher","Fancypack","Drifter","None","Engineers Guild","The Scaper","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Sacred Passage","Light Grey Suit Integrity Amulet"
2002,"Trunker","Caddypack","Drifter","None","Dark Ether House","Kipper","None","The Void","Phase 2","None","Kreegal Cloak","Encased Regulator","None","Yellow","Solid","Medium Grey Sanity Amulet"
2003,"The (Fat) Koltso","None","Drifter","None","The Man Earlie Expeditionary Society","Hangtooth","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Red","Foss","None"
2004,"Prongseat","None","Drifter","None","Cross of the Round Power","The Spyhopper","None","The Void","Phase 2","None","Duggie","Utility Vest","None","Black","Strapt","Light Grey Decontamination Amulet"
2005,"Prongseat","None","Drifter","None","Cross of the Round Power","Backstab Squeezebox","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Black","Solid","None"
2006,"The Nozzle","The Sink","Drifter","None","The Borsch Conservatory of Gastrotechs","Hardhat","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Blue","Cowl","None"
2007,"Cove Carver","None","Drifter","None","Union of Merchants","Trailmaker","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Red","Foss","None"
2008,"The Koltso","None","Drifter","None","Dark Ether House","Kipper","None","The Void","Phase 2","None","Smocker","None","None","Gray","Sacred Passage","None"
2009,"Death Beam","None","Drifter","None","Mercenary","Puffy Face","None","The Void","Phase 2","None","Vayon Worksuit","None","None","White","Foss","None"
2010,"Steady Hammer","Bobpack","Drifter","None","Lighthouse Sept","Trailmaker","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","Medium Grey Sanity Amulet"
2011,"The Spunker","Bobpack","Drifter","None","Beshtala-Chanko","The Pillowcase","Leergear","The Void","Phase 2","None","Smocker","Simple Regulator","None","Green","Sacred Passage","None"
2012,"Thruster","Bobpack","Drifter","None","Slash Patcher","Hardhat","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Black","Solid","Dark Grey Decontamination Amulet"
2013,"Death Beam","Bobpack","Drifter","None","The Man Earlie Expeditionary Society","The Pillowcase","Driftcore Shades","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","Yellow Drippy Charm"
2014,"The (Fat) Koltso","None","Drifter","None","The Pyramid Order","Headforge","None","The Void","Phase 2","None","Smocker","None","None","Gray","Solid","Dark Grey Milo Charm"
2015,"Steady Hammer","Fancypack","Drifter","None","Venonauts","The Pillowcase","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","White","Cowl","None"
